VP,BDI,Creative behavior indicator,Affordance Type (Deny/Affirm),Creative behavior Type Count
look inside the cave,Intention,Performance,,Bodily
go inside the water,Intention,Performance,,Bodily
i am stuck,Belief,Affordance Perception,Deny-,Bodily
i can’t go forward,Belief,"Affordance Perception, Imagining",Deny-,Bodily
i move too fast,Belief,Affordance Perception,Affirm+,Bodily
i am bumping into every tree,Intention,Performance,,Bodily
I can’t go up,Belief,Affordance Perception,Deny-,Bodily
go inside the cave,Intention,Performance,,Bodily
go forward and cross the dead-end,Intention,Performance,,Bodily
i am in a bush,Belief,Performance,,Bodily
go towards the larger body of water,Intention,Performance,,Bodily
climb the wall,Intention,Performance,,Bodily
i can’t move forward,Belief,Affordance Perception,Deny-,Bodily
i am like spiderman,Belief,Imagining,,Bodily
i can jump,Belief,Affordance Perception,Affirm+,Bodily
 jump down from the cliff,Intention,Performance,,Bodily
i can’t climb up,Belief,Affordance Perception,Deny-,Bodily
jump off the hill and move forward,Belief,Performance,,Bodily
climb the trees,Intention,Performance,,Bodily
i can climb the tree,Belief,Affordance Perception,Affirm+,Bodily
I can go there to the corner now,Belief,"Affordance Perception, Imagining",Affirm+,Bodily
jump through the gate,Belief,Performance,,Bodily
I cannot go down,Belief,Affordance Perception,Deny-,Bodily
i can’t swim,Belief,"Affordance Perception, Imagining",Deny-,Bodily
i am stuck here,Belief,"Affordance Perception, Imagining",Deny-,Bodily
jump in the cliff,Intention,Performance,,Bodily
jump in the water,Intention,Performance,,Bodily
there is another action i can do besides moving,Belief,Affordance Perception,Affirm+,Bodily
look inside the trash can,Intention,Performance,,Bodily
go in the water,Intention,Performance,,Bodily
go up the gate,Intention,Performance,,Bodily
i cannot go to the island,Belief,"Affordance Perception, Imagining",Deny-,Bodily
i can not jump up this fence,Belief,Affordance Perception,Deny-,Bodily
i can look up,Belief,Affordance Perception,Affirm+,Bodily
i can go down the hill,Belief,"Affordance Perception, Imagining",Affirm+,Bodily
i am going rogue,Intention,Performance,,Bodily
i can make big jumps down the hill,Belief,"Affordance Perception, Imagining",Affirm+,Bodily
change the course and jump down the hill,Intention,Performance,,Bodily
take the path with no steps,Intention,Performance,,Bodily
i am like Jesus walking on water,Belief,Imagining,Affirm+,Bodily
walk towards the bridge,Intention,Performance,,Bodily
go further to the city,Intention,Performance,,Bodily
i can walk without moving my body,Belief,Affordance Perception,Affirm+,Bodily
i can go into the bush,Belief,Affordance Perception,Affirm+,Bodily
jump behind the fence,Intention,Performance,,Bodily
i can jump off the cliff,Belief,"Affordance Perception, Imagining",Affirm+,Bodily
i couldn't go here in real life,Belief,Affordance Perception,Affirm+,Bodily
go out of the road into the prohibited area,Intention,Performance,,Bodily
I cannot climb,Belief,Affordance Perception,Deny-,Bodily
jump off the cliff,Intention,Performance,,Bodily
climb the tree,Intention,Performance,,Bodily
jump off the cliff,Intention,Performance,,Bodily
I cannot swim,Belief,Affordance Perception,Deny-,Bodily
i am stuck,Belief,Imagining,,Bodily
i cannot cross this fence,Belief,"Affordance Perception, Imagining",Deny-,Bodily
i cannot move,Belief,Affordance Perception,Deny-,Bodily
i am stuck in a tree,Belief,"Affordance Perception, Imagining",Deny-,Bodily
being stuck is part of the game,Belief,"Affordance Perception, Imagining",Affirm+,Bodily
we can not swim,Belief,"Affordance Perception, Imagining",Deny-,Bodily
there are stones to sit,Belief,"Affordance Perception, Imagining",Affirm+,Conceptual
there is a clay fire pit to use,Belief,"Affordance Perception, Imagining",Affirm+,Conceptual
this block is not important,Belief,"Affordance Perception, Imagining",Deny-,Conceptual
the treasure is in the leaves,Belief,"Affordance Perception, Imagining",Affirm+,Conceptual
there is something there,Belief,Imagining,,Conceptual
there is something there,Belief,Imagining,,Conceptual
there is something,Belief,Imagining,,Conceptual
there is a rock race car monument,Belief,"Affordance Perception, Imagining",Affirm+,Conceptual
" there are lots of stone structures,  they are like icebergs",Belief,Imagining,,Conceptual
the monument looks like an upside down ice cream cone,Belief,Imagining,,Conceptual
i'm hitting a wall,Intention,Performance,,Conceptual
there is a spaghetti tree,Belief,Imagining,,Conceptual
"cats can climb trees, the cat is in the trees",Belief,"Affordance Perception, Imagining",Affirm+,Conceptual
the cat is in the bushes,Belief,"Affordance Perception, Imagining",Affirm+,Conceptual
the cat is in the bushes,Belief,"Affordance Perception, Imagining",Affirm+,Conceptual
there is something here because there is a pathway,Belief,"Affordance Perception, Imagining",Affirm+,Conceptual
there is a point in going in this area,Belief,"Affordance Perception, Imagining",Affirm+,Conceptual
there is something here,Belief,Imagining,,Conceptual
there should be a bird house here,Belief,Imagining,,Conceptual
the toy is closer to where the sound is,Belief,Imagining,,Conceptual
the treasure is in a tree or a plant,Belief,Imagining,,Conceptual
the bench is a good make out spot,Belief,"Affordance Perception, Imagining",Affirm+,Conceptual
i hear some small dogs,Belief,Imagining,,Conceptual
this is a cemetery,Belief,"Affordance Perception, Imagining",Affirm+,Conceptual
the stone is damaged by the ocean and salt,Belief,Imagining,Affirm+,Conceptual
nothing interesting happens on paths,Belief,"Affordance Perception, Imagining",Deny-,Conceptual
there is something in the tree,Belief,Imagining,,Conceptual
 the cat could be on the tree,Belief,"Affordance Perception, Imagining",Affirm+,Conceptual
the squares could be chairs,Belief,"Affordance Perception, Imagining",Affirm+,Conceptual
the cat is above the tree,Belief,"Affordance Perception, Imagining",Affirm+,Conceptual
the cat is in a tree,Belief,"Affordance Perception, Imagining",Affirm+,Conceptual
