VP,BDI,Creative behavior indicator,Affordance Type (Deny/Affirm),Creativity factor from the IVE
I cannot go through the gate,Belief,Affordance Perception,Deny-,Bodily
i can hear the sea close to the edge,Belief,Affordance Perception,Affirm+,Mental
I can go to the other side by going down,Belief,Affordance Perception,Affirm+,Bodily
I can see my shadow,Belief,Affordance Perception,Affirm+,Bodily
I am very close to a cliff,Belief,Affordance Perception,Affirm+,Bodily
I can get close to the water,Belief,Affordance Perception,Affirm+,Bodily
I can go in the water,Belief,Affordance Perception,Affirm+,Bodily
 i can go down the steep hill,Belief,Affordance Perception,Affirm+,Bodily
i can go on top of the sculpture,Belief,Affordance Perception,Affirm+,Bodily
i can get close to the water,Belief,Affordance Perception,Affirm+,Bodily
i can’t cross the fence from here,Belief,Affordance Perception,Deny-,Bodily
i can not go up from the fence,Belief,Affordance Perception,Deny-,Mental
I see my hands,Belief,Affordance Perception,Affirm+,Bodily
i am stuck,Belief,Affordance Perception,Deny-,Bodily
i can look up,Belief,Affordance Perception,Affirm+,Bodily
i can go in the tree,Belief,Affordance Perception,Affirm+,Bodily
i can climb up from here,Belief,Affordance Perception,Affirm+,Bodily
i can’t Squat down to see,Belief,Affordance Perception,Affirm+,Bodily
this is the end of where i can move,Belief,Affordance Perception,Deny-,Bodily
i can go on the hill,Belief,Affordance Perception,Affirm+,Bodily
I am stuck in a tree,Belief,Affordance Perception,Deny-,Bodily
I can get down from the hill,Belief,"Affordance Perception, Imagining",Affirm+,Bodily
I can get on the statue,Belief,"Affordance Perception, Imagining",Affirm+,Bodily
I will fall if i go to the edge,Belief,"Affordance Perception, Imagining",Affirm+,Bodily
"The terrain is different, it is rough, I might fall",Belief,"Affordance Perception, Imagining",Affirm+,Bodily
he direction i look changes the sound,Belief,"Affordance Perception, Imagining",Affirm+,Bodily
"I cannot go down the cliff, it is suicide",Belief,"Affordance Perception, Imagining",Affirm+,Bodily
I can go anywhere i want,Belief,"Affordance Perception, Imagining",Affirm+,Bodily
i am free to go anywhere,Belief,"Affordance Perception, Imagining",Affirm+,Bodily
I am like a spirit,Belief,"Affordance Perception, Imagining",Affirm+,Bodily
"i am not bound by the trail, i can fly",Belief,"Affordance Perception, Imagining",Affirm+,Bodily
I will not die if i jump in the channel,Belief,"Affordance Perception, Imagining",Affirm+,Bodily
i can go in the water,Belief,"Affordance Perception, Imagining",Affirm+,Bodily
i can free fall there,Belief,"Affordance Perception, Imagining",Affirm+,Bodily
i can walk on water,Belief,"Affordance Perception, Imagining",Affirm+,Bodily
i have not been looking up,Belief,"Affordance Perception, Imagining",Affirm+,Bodily
I am confident of going over the gate,Belief,"Affordance Perception, Imagining",Affirm+,Bodily
i can go anywhere,Belief,"Affordance Perception, Imagining",Affirm+,Bodily
I am stuck,Belief,Imagining,,Bodily
"i am a spirit, if i die i would do this flying around and be nosy",Belief,Imagining,,Bodily
i should not be thinking like a human,Belief,Imagining,,Bodily
I will walk down the hill,Intention,Performance,,Bodily
get closer to the cliff edge,Intention,Performance,,Bodily
go the opposite direction of the path,Intention,Performance,,Bodily
get closer to the bridge,Intention,Performance,,Bodily
